Rank,Layer,Ticker,Company,Listing,Price,Currency,AsOf,Wk52_Low,Wk52_High,Score,Fin_25,Growth_20,Valuation_20,Catalysts_20,Risk_15,Consensus,Avg_Target,Verdict
14,6-Energy,NEE,NextEra,NYSE,87.79,USD,2026-06-30,67.20,98.75,71,18,14,16,13,10,Buy,98.47,Defensive AI-power; rate-sensitive compounder
17,1-Fab,KLAC,KLA,Nasdaq,302.00,USD,2026-06-30,83.22,302.00,69,21,14,10,15,9,Buy,210,Elite franchise but above target; wait
17,1-Fab,LRCX,Lam Research,Nasdaq,379.09,USD,2026-06-26,90.94,409.75,69,20,16,9,16,8,Buy,326,Best HBM/DRAM capex proxy; priced for perfection
17,3-Memory,STX,Seagate,Nasdaq,899.90,USD,2026-06-27,,1085,69,19,15,13,14,8,Buy,898,HAMR leader; parabolic run; size for vol
17,4-Network,SIMO,Silicon Motion,Nasdaq,319.00,USD,2026-06-23,70.12,355.00,69,17,16,13,14,9,Strong Buy,381,Value-tilt AI-storage controller
21,6-Energy,GEV,GE Vernova,NYSE,1087.00,USD,2026-06-29,482.20,1181.95,68,18,18,8,16,8,Buy,1212,Best demand visibility; priciest multiple
21,3-Memory,285A,Kioxia,Tokyo,89680,JPY,2026-06-30,,,68,17,15,15,13,8,Buy,110594,Cheapest least-crowded NAND; public since Dec-24
23,4-Network,COHR,Coherent,NYSE,391.00,USD,2026-06-30,76.88,440.00,67,15,16,11,17,8,Buy,384,Leveraged optics turnaround; NVDA in cap table
24,3-Memory,WDC,Western Digital,Nasdaq,638.57,USD,2026-06-30,,,67,19,14,12,13,9,Strong Buy,584.79,Data-gravity beneficiary; above target
25,4-Network,ALAB,Astera Labs,Nasdaq,475.00,USD,2026-06-30,85.85,499.48,66,19,18,6,16,7,Buy,268,Best product econ; most stretched; wait for reset
25,6-Energy,BE,Bloom Energy,NYSE,307.00,USD,2026-06-30,21.52,351.28,66,16,19,7,17,7,Buy,267,Explosive growth; speculative multiple
27,5-Neocloud,NBIS,Nebius,Nasdaq,264.15,USD,2026-06-30,43.89,299.86,64,14,19,7,17,7,Moderate Buy,244,Best-capitalized neocloud; satellite only
28,5-Neocloud,CRWV,CoreWeave,Nasdaq,95.51,USD,2026-06-30,63.80,183.98,62,12,19,12,16,3,Buy,132.68,Beaten-down contrarian; ~$35B debt; high-risk
29,3-Memory,SNDK,SanDisk,Nasdaq,2144.00,USD,2026-06-30,,,60,17,17,6,14,6,Buy,2000,Clearest "don't chase"; targets below price
30,5-Neocloud,IREN,IREN,Nasdaq,45.56,USD,2026-06-30,13.99,76.87,58,11,18,9,15,5,Buy,70.40,Leveraged pivot; crypto beta; speculative
31,5-Neocloud,APLD,Applied Digital,Nasdaq,42.00,USD,2026-06-30,9.02,50.73,57,11,17,9,14,6,Strong Buy,73.36,Riskiest; daisy-chain + NVDA exit; spec only
32,6-Energy,EOSE,Eos Energy,Nasdaq,7.00,USD,2026-06-30,4.37,19.86,52,8,16,11,12,5,Buy/Hold,9.40,Venture-style LDES option; highest risk
33,2-Silicon,INTC,Intel,Nasdaq,129.70,USD,2026-06-30,18.97,141.45,47,8,11,7,15,6,Hold,97,Show-me lottery ticket; price ~25% above target
